Internet,Radio,TV,Sales
1000,2000,3000,214262
4538,7565,8538,280019
13738,8928,11615,316998
17651,17997,2615,312272
11130,14145,6994,306133
6328,15996,2961,297495
13897,5020,6045,298570
2944,8867,14193,291349
12144,18164,3612,310649
15265,14793,17782,347762
19331,13605,12812,326027
18164,11899,1054,307297
12843,1300,18659,353283
2254,15353,15323,297675
5678,17340,11237,307304
11659,1354,16212,333799
3592,2138,3305,252747
2367,19378,11793,291621
17089,5557,10381,315374
12520,11808,7029,305304
6033,2260,8031,277680
4675,13149,10968,296466
18707,1265,5452,301813
8410,10233,12481,311621
3400,3566,10607,272180
3488,16380,7549,287201
11380,16173,6428,308200
6989,17964,11979,314109
18453,1007,19558,370415
6425,12149,15250,319695
9566,8259,8805,300119
4772,9107,7523,281588
17243,11026,16241,341597
7511,2295,8180,284420
11820,4058,9870,304212
5885,3106,4666,270830
12717,5439,2937,293078
3746,15279,5218,284469
11230,17465,19046,351888
16192,1656,15634,339380
9476,15872,19818,354396
19884,11375,11002,320161
7964,17384,14160,323303
5706,5981,15253,311446
1524,12275,17032,291968
1614,14478,9835,267827
13041,16256,14239,329277
3725,2489,1348,253282
15191,9595,9551,312173
15703,3387,12751,322919
18390,3765,3996,300677
18276,8616,5747,306185
6901,19665,6066,306067
18838,1588,14620,337538
14114,9604,12937,322983
9103,5700,8054,293814
5318,6973,4320,275326
11910,7630,2082,294665
19938,16519,12293,323579
9582,8133,19531,352072
10060,1249,7707,289927
15407,7079,19703,363331
6937,10585,13803,313275
13776,14049,9535,313531
13333,13800,11991,320179
15199,6502,15702,337624
14931,15144,5206,308722
13816,16195,2530,309430
16862,9270,18545,355785
9192,8679,3788,291454
15229,13126,12345,322622
16870,4652,8506,308650
3511,4922,2447,257970
19728,4366,11875,324227
11470,5115,15424,329623
8661,15416,14621,325138
10817,14432,15830,333653
1059,15723,18031,291159
6447,3628,6512,277834
7568,13824,5208,297215
9682,13468,3504,300471
17015,2288,11892,320819
11264,19027,12862,324173
1169,16631,17363,291314
18023,10339,17277,348231
6590,2965,3741,272460
14219,15779,8723,313254
8731,19529,7086,310009
16064,9225,7792,308370
10270,17251,17879,344264
12567,13966,5335,305783
7497,3747,14618,313389
8066,7750,2095,286145
10769,17631,4495,308584
17046,16206,9106,315160
13036,3370,9941,306425
9904,9132,12386,313774
2006,4790,9032,253545
13700,8193,4575,299576
13240,7662,5354,299232
11502,17893,7744,311774
19905,2108,10817,320241
9584,14460,15771,331527
10063,9528,17833,342136
6531,10566,19352,342809
8585,16142,4641,303147
13527,2347,3899,291394
19875,16855,14292,330775
10301,11253,18009,343996
5182,13757,3713,288409
2444,17608,19071,321752
6922,13707,7193,297425
5004,1788,7114,268888
1757,3561,4674,236933
17106,9627,1292,303948
2203,9011,17412,300950
10242,5548,19097,350363
5480,18875,14000,317352
12409,16477,2028,309281
17581,9011,2224,303443
11018,12871,17245,340962
5549,3496,4075,269115
12698,2124,15256,330489
18434,12178,17248,347267
9366,3407,12206,307043
19952,12058,6574,309894
8061,5644,12106,304734
2521,10152,9467,271212
3868,15455,15839,313927
12656,15440,9125,312749
14088,10331,2675,301728
7277,17026,9140,306638
6794,17547,18266,340141
17145,13675,7542,311155
12208,4758,9157,303204
2416,8035,3344,255439
9770,11658,15826,330868
4580,14029,7748,289711
1014,5324,3762,223939
10420,7906,6236,295901
6653,14634,4626,295790
13128,7223,2282,296084
8259,3407,5641,282451
13889,10560,5387,303324
15824,11382,16512,341978
12481,19217,8463,314716
3586,9562,7353,274613
14310,18680,17389,344393
2702,5004,10553,267734
8421,14229,13891,320715
19612,9379,15052,337485
15591,2008,11432,316399
15535,12395,16826,343251
1280,19464,2800,266687
18309,14787,1492,310010
16134,7168,6849,305102
8082,14496,9657,306376
11010,8924,16212,334271
2094,1110,6940,241394
10557,13223,3113,301497
2930,5290,19455,319240
13007,5001,7557,300367
11902,17593,5648,309847
5803,5253,1903,272449
6123,12220,8230,294291
18804,16291,18822,353714
4520,9399,4521,276305
3720,13014,13575,300064
8437,5563,14042,314860
18767,17882,6495,312135
1280,6044,1293,231579
6553,4722,2670,274897
18235,17348,7430,312924
18052,9622,11598,321299
16672,6355,4391,301210
2587,12763,5265,269589
8784,2657,8050,288909
8719,15131,6471,303011
18879,1019,10045,315694
1526,2622,19646,299449
7146,12541,13365,313884
3927,18006,6909,292352
14155,3260,18114,351648
14412,18003,7253,312831
17066,19746,2264,314469
6601,18323,18907,343604
16772,5561,13000,325780
2717,3450,2999,247425
19496,12503,19548,361486
9712,18682,5899,309304
